番号,名前,体力,攻撃力,素早さ,魔法,魔法コスト
0,あ,18,9,10,0,4
1,い,15,8,12,0,3
2,う,10,6,15,0,5
3,え,28,5,5,0,2
4,お,20,10,9,0,1
5,か,16,11,8,0,4
6,き,12,10,13,0,3
7,く,25,8,6,0,2
8,け,6,15,3,0,4
9,こ,14,12,10,0,1
10,さ,17,9,9,0,5
11,し,13,7,14,0,3
12,す,19,11,7,0,2
13,せ,29,4,6,0,1
14,そ,5,14,1,0,5
15,た,18,9,8,0,3
16,ち,10,3,15,0,2
17,つ,25,5,4,0,4
18,て,7,12,11,0,1
19,と,20,14,3,0,5
20,な,16,10,10,0,2
21,に,15,9,12,0,3
22,ぬ,8,8,8,0,4
23,ね,12,12,12,0,5
24,の,15,13,8,0,1
25,は,19,9,9,0,3
26,ひ,11,13,10,0,2
27,ふ,23,6,5,0,4
28,へ,10,10,10,0,3
29,ほ,30,5,1,0,5
30,ま,17,10,8,0,2
31,み,16,12,9,0,3
32,む,5,3,1,0,4
33,め,30,15,15,0,5
34,も,22,10,5,0,1
35,や,15,9,11,0,3
36,ゆ,10,10,10,0,2
37,よ,18,10,12,0,4
38,ら,28,13,5,0,3
39,り,10,15,10,0,1
40,る,7,8,15,0,5
41,れ,20,10,12,0,2
42,ろ,30,10,1,0,4
43,わ,12,12,12,0,3
44,を,5,1,1,0,5
45,ん,15,15,15,0,1
46,が,20,12,8,0,3
47,ぎ,15,10,10,0,4
48,ぐ,22,10,5,0,2
49,げ,18,10,5,0,1
50,ご,20,14,3,0,5
51,ざ,18,9,9,0,3
52,じ,10,5,15,0,4
53,ず,25,7,6,0,2
54,ぜ,8,15,5,0,1
55,ぞ,10,10,10,0,3
56,だ,21,10,7,0,5
57,ぢ,15,10,10,0,4
58,づ,25,12,3,0,2
59,で,10,15,15,0,3
60,ど,28,10,5,0,1
61,ば,18,11,9,0,4
62,び,16,10,8,0,3
63,ぶ,20,8,10,0,2
64,べ,7,10,14,0,5
65,ぼ,25,13,5,0,1
66,ぱ,15,12,10,0,3
67,ぴ,18,9,10,0,4
68,ぷ,20,10,8,0,2
69,ぺ,12,15,5,0,5
70,ぽ,28,5,8,0,1
71,ゃ,5,3,1,0,2
72,ゅ,30,15,15,0,3
73,ょ,15,15,15,0,4
74,っ,8,8,15,0,5
