番号,名前,体力,攻撃力,素早さ,魔法,魔法コスト
0,あ,17,8,10,2,3
1,い,15,9,11,3,2
2,う,12,7,14,5,4
3,え,28,4,8,8,5
4,お,16,9,10,2,3
5,か,18,7,12,3,2
6,き,14,8,13,4,3
7,く,22,6,9,2,4
8,け,7,14,8,9,2
9,こ,10,12,10,6,3
10,さ,16,9,10,3,2
11,し,13,7,14,5,4
12,す,20,8,9,2,3
13,せ,29,3,7,10,5
14,そ,6,15,7,8,2
15,た,17,8,11,3,2
16,ち,8,5,15,9,4
17,つ,25,5,8,3,5
18,て,10,13,13,7,2
19,と,26,4,9,4,3
20,な,15,9,11,3,2
21,に,14,7,13,5,4
22,ぬ,9,6,15,7,3
23,ね,11,11,9,8,2
24,の,13,10,12,6,4
25,は,17,8,10,2,3
26,ひ,15,9,12,4,3
27,ふ,23,6,8,2,4
28,へ,10,12,10,7,2
29,ほ,30,3,7,9,5
30,ま,16,9,11,3,2
31,み,19,7,12,4,3
32,む,5,3,7,10,5
33,め,30,15,15,0,1
34,も,24,6,9,2,4
35,や,15,8,11,3,2
36,ゆ,8,14,8,9,3
37,よ,21,7,13,5,4
38,ら,27,5,9,10,5
39,り,9,15,7,8,2
40,る,12,13,13,6,3
41,れ,28,3,8,9,4
42,ろ,6,14,7,7,2
43,わ,18,9,12,3,3
44,を,5,3,7,10,5
45,ん,15,15,15,0,1
46,が,19,9,10,2,3
47,ぎ,16,8,12,4,3
48,ぐ,21,7,9,3,4
49,げ,10,13,10,7,2
50,ご,25,6,8,5,5
51,ざ,17,8,11,3,2
52,じ,12,7,14,5,4
53,ず,20,8,9,2,3
54,ぜ,7,14,7,9,2
55,ぞ,27,4,8,10,5
56,だ,18,9,10,2,3
57,ぢ,9,6,15,8,4
58,づ,24,5,8,4,5
59,で,11,13,13,7,2
60,ど,29,3,7,9,5
61,ば,16,9,11,3,2
62,び,14,8,13,4,3
63,ぶ,22,6,9,2,4
64,べ,8,14,7,9,2
65,ぼ,26,4,8,10,5
66,ぱ,17,8,10,2,3
67,ぴ,15,9,12,4,3
68,ぷ,20,7,9,3,4
69,ぺ,9,14,8,8,2
70,ぽ,28,3,7,10,5
71,ゃ,6,14,7,9,2
72,ゅ,30,15,15,0,1
73,ょ,7,15,7,8,2
74,っ,10,13,13,6,3
